source,destination,type
outputs/visualization/Magnetic_Observed.png,docs/figures/inversion/Magnetic_Observed.png,figure
outputs/visualization/Magnetic_Predicted.png,docs/figures/inversion/Magnetic_Predicted.png,figure
outputs/visualization/Magnetic_Residual.png,docs/figures/inversion/Magnetic_Residual.png,figure
outputs/validation/validation_density_slice.png,docs/figures/validation/validation_density_slice.png,figure
outputs/validation/rhob_validation.csv,docs/figures/validation/rhob_validation.csv,figure
outputs/validation/rhob_validation.png,docs/figures/validation/rhob_validation.png,figure
outputs/validation/validation_susceptibility_slice.png,docs/figures/validation/validation_susceptibility_slice.png,figure
outputs/validation/validation_fault_overlay.png,docs/figures/geological/validation_fault_overlay.png,figure
outputs/validation/Colorado_FINAL_WELL_FAULT_VALIDATION.html,docs/figures/geological/Colorado_FINAL_WELL_FAULT_VALIDATION.html,figure
outputs/validation/seismic_guided_density_layer5.png,docs/figures/inversion/seismic_guided_density_layer5.png,figure
outputs/validation/seismic_comparison_summary.png,docs/figures/presentation/seismic_comparison_summary.png,figure
outputs/validation/final_geological_interpretation.png,docs/figures/geological/final_geological_interpretation.png,figure
outputs/validation/baseline_density_layer5.png,docs/figures/inversion/baseline_density_layer5.png,figure
outputs/validation/seismic_difference_layer5.png,docs/figures/presentation/seismic_difference_layer5.png,figure
outputs/validation/Colorado_FINAL_VALIDATION_MANAGER_VIEW.html,docs/figures/validation/Colorado_FINAL_VALIDATION_MANAGER_VIEW.html,figure
